cell_code,whole_plots,details,type,binder,solvent,fec,thickness,anode,anode_mass,active_mass,capacity_mah,protocol_type,source_file,ICE,retention_final,n_cycles,fade_rate_total,reference_cycle,final_cycle,inferred_cell_type,warnings
P009-CEL-100,,full cells,full,CMC,EC:DEC,0.0,200.0,,0.0078,0.0093,1.0889,longterm,P009-CEL-100-0wtFEC-0106-8_.ndax,76.42438507080078,0.3647553026676178,260.0,0.3832124769687652,2.0,260.0,full,
P009-CEL-101,,full cells,full,CMC,EC:DEC,0.0,200.0,,0.0081,0.0095,1.1168,longterm,P009-CEL-101-0wtFEC-0106-10_.ndax,76.77546691894531,57.500755310058594,249.0,0.1706797033548355,2.0,249.0,full,
P009-CEL-103,,full cells,full,CMC,EC:DEC,0.0,200.0,,0.0082,0.0095,1.1164,longterm,P009-CEL-103-0wtFEC-0106-7_.ndax,76.18385314941406,22.92592430114746,254.0,0.3034412264823913,2.0,254.0,full,
P009-CEL-107,,full cells,full,CMC,EC:DEC,5.0,200.0,,0.0082,0.01,1.1664,longterm,P009-CEL-107-5wtFEC-0106-15_FullCell_FEC - longterm.ndax,78.56076049804688,61.431671142578125,234.0,0.1648219227790832,2.0,234.0,full,
P009-CEL-108,,full cells,full,CMC,EC:DEC,5.0,200.0,,0.0084,0.0103,1.2089,longterm,P009-CEL-108-5wtFEC-0106-13_.ndax,78.5908203125,55.859375,250.0,0.1765625029802322,2.0,250.0,full,
P009-CEL-109,,full cells,full,CMC,EC:DEC,5.0,200.0,,0.0077,0.0089,1.0448,longterm,P009-CEL-109-5wtFEC-0106-14_.ndax,75.25924682617188,47.42794418334961,289.0,0.1819102317094802,2.0,289.0,full,
P009-CEL-128,,full cells,full,CMC,EC:DEC,5.0,200.0,,0.0084,0.0095,1.1106,longterm,P009-CEL-128-5wtFEC-0406-1_FullCell_FEC - longterm.ndax,74.32576751708984,52.566673278808594,302.0,0.1570639908313751,2.0,302.0,full,
P009-CEL-129,,full cells,full,CMC,EC:DEC,5.0,200.0,,0.0085,0.01,1.1738,longterm,P009-CEL-129-5wtFEC-0406-8_FullCell_FEC - longterm.ndax,76.7142562866211,52.65853500366211,302.0,0.1567598134279251,2.0,302.0,full,
P009-CEL-144,,full cells,full,CMC,EC:DEC,2.5,200.0,,0.0085,0.0096,1.1211,longterm,P009-CEL-144-0107-k8_2026-07-03 16-45-04_4.ndax,81.85193634033203,67.25365447998047,254.0,0.128922626376152,2.0,254.0,full,
P009-CEL-145,,full cells,full,CMC,EC:DEC,2.5,200.0,,0.0085,0.0096,1.1211,longterm,P009-CEL-145-0107-k9_2026-07-03 16-45-35_5.ndax,82.2755126953125,11.137165069580078,163.0,0.545170783996582,2.0,163.0,full,
P009-CEL-147,,full cells,full,CMC,EC:DEC,2.5,200.0,,0.0085,0.0099,1.1632,longterm,P009-CEL-147-0107-k12_2026-07-03 16-46-57_2_FullCell_FEC - longterm.ndax,82.26649475097656,63.92132186889648,169.0,0.2134833037853241,2.0,169.0,full,
P009-CEL-148,,full cells,full,CMC,EC:DEC,1.25,200.0,,0.0085,0.0098,1.1422,longterm,P009-CEL-148-0107-k16_2026-07-03 16-48-09_3_FullCell_FEC - longterm.ndax,83.60399627685547,11.806458473205566,157.0,0.5617423057556152,2.0,157.0,full,
P009-CEL-149,,full cells,full,CMC,EC:DEC,1.25,200.0,,0.0083,0.0091,1.0685,longterm,P009-CEL-149-0107-k17_2026-07-03 16-48-39_4_FullCell_FEC - longterm.ndax,82.00762939453125,69.02384948730469,162.0,0.1912108063697815,2.0,162.0,full,
P009-CEL-150,,full cells,full,CMC,EC:DEC,1.25,200.0,,0.0085,0.0097,1.1317,longterm,P009-CEL-150-0107-k13_2026-07-03 16-49-09_5_FullCell_FEC - longterm.ndax,83.23027038574219,70.0470962524414,159.0,0.1883830428123474,2.0,159.0,full,
